signal_ts_ms,exec_ts_ms,asset,buy_ex,sell_ex,size,buy_cost,sell_proceeds,pnl
1777638622100,1777638622100,ETH,binance,bybit,0.8673365395874081,2000.0193254615838,2001.595899232841,1.5765737712572445
1777638851500,1777638851500,ETH,binance,bybit,0.8654262224145391,2000.0,2001.136620182432,1.1366201824318978
1777638853000,1777638853000,BTC,bybit,binance,0.025614327630303284,2000.0,2001.0279029678038,1.0279029678038114
1777638853000,1777638853000,ETH,okx,binance,0.8657184164278727,2000.0,2001.0821480205348,1.0821480205347598
1777638979100,1777638979100,ETH,binance,okx,0.8674456328449615,2000.0,2001.5180298574787,1.518029857478723
1777639620800,1777639620800,ETH,binance,bybit,0.867727897885781,2000.0,2001.0759825933785,1.0759825933785123
1777640948100,1777640948100,ETH,okx,binance,0.8666975788803134,2000.0000000000002,2001.1613747556994,1.1613747556991711
1777641120500,1777641120500,ETH,binance,bybit,0.8645807215790702,2000.0,2001.2536420462895,1.2536420462895421
1777641193400,1777641193400,BTC,binance,bybit,0.025531198933612883,2000.0,2001.434087444101,1.4340874441008964
1777641193400,1777641193400,ETH,binance,bybit,0.8653737982121378,2000.0,2001.132058447765,1.1320584477650755
1777641819100,1777641819100,ETH,okx,binance,0.8658945773352095,2000.0,2001.0217556012556,1.0217556012555633
1777643440200,1777643440200,BTC,binance,okx,0.025539039742321305,2000.0,2001.029940178436,1.029940178435936
1777643440200,1777643440200,ETH,binance,okx,0.8655123616803057,1999.9999999999998,2001.1597865646515,1.1597865646517675
1777643599100,1777643599100,BTC,binance,bybit,0.02545621677088654,2000.0,2001.4863375592145,1.486337559214462
1777643606000,1777643606000,BTC,bybit,binance,0.025421585213789174,2000.0,2001.2357432572421,1.2357432572421203
1777643607200,1777643607200,BTC,binance,okx,0.025412143675686158,2000.0,2001.2037732459173,1.2037732459173185
1777643607200,1777643607200,ETH,binance,okx,0.8634273749649233,2000.0058639162476,2001.4160208949422,1.4101569786946584
1777644809400,1777644809400,BTC,binance,okx,0.025373948567006255,2000.0,2001.0479440758174,1.0479440758174405
1777649038400,1777649038400,BTC,binance,okx,0.025462452240396612,2000.0,2001.033011687393,1.0330116873929
1777649088500,1777649088500,BTC,okx,binance,0.025474624090078272,2000.0000000000002,2001.0070118902809,1.007011890280637
1777649859500,1777649859500,BTC,binance,bybit,0.025425990218367302,2000.0,2001.3585106573676,1.3585106573675603
1777649859600,1777649859600,BTC,binance,bybit,0.025425990218367302,2000.0,2001.0940803590963,1.0940803590963242
1777650630200,1777650630200,BTC,okx,binance,0.025455429452186432,2000.0,2001.130730176266,1.13073017626607
1777650630200,1777650630200,ETH,okx,binance,0.8656060107681388,2000.0,2001.3936256773368,1.3936256773367859
1777650630300,1777650630300,ETH,okx,binance,0.8659433153505772,2000.0,2002.1735177215303,2.1735177215302883
1777650632300,1777650632300,BTC,okx,binance,0.0254814724214024,2000.0067333251795,2001.3345132720517,1.3277799468721696
1777650633100,1777650633100,BTC,okx,bybit,0.025484427103707602,2000.0,2001.0397646258314,1.039764625831367
1777650633100,1777650633100,ETH,okx,binance,0.8670921198668147,2000.0,2001.0925360710323,1.0925360710323275
1777650648000,1777650648000,BTC,binance,bybit,0.025524822251519044,2000.0190314166887,2001.1052248034905,1.086193386801824
1777650662600,1777650662600,ETH,bybit,binance,0.8680103466833325,2000.0,2001.0329323125534,1.0329323125533847
1777650749900,1777650749900,BTC,binance,okx,0.025541776192995705,2000.0073194925283,2001.0295889983395,1.0222695058112095
1777650750100,1777650750100,ETH,binance,bybit,0.8685795684028124,1999.9999999999998,2001.1465250302913,1.1465250302915138
1777650753500,1777650753500,BTC,binance,okx,0.025532835162186487,2000.0,2001.5521410495096,1.5521410495096006
1777650760900,1777650760900,BTC,binance,bybit,0.025514473850726038,2000.0,2001.1461101653745,1.1461101653744663
1777650760900,1777650760900,ETH,binance,bybit,0.8676789587852495,2000.0,2001.0065075921907,1.006507592190701
1777651325900,1777651325900,ETH,binance,bybit,0.8646031471554557,2000.0,2001.011585682172,1.0115856821719262
1777652766200,1777652766200,ETH,binance,bybit,0.8691910873145907,2000.0,2001.8384015746292,1.838401574629188
1777652766300,1777652766300,ETH,binance,bybit,0.8691910873145907,2000.0,2001.199483700494,1.1994837004940564
1777655043300,1777655043300,ETH,okx,binance,0.8693082045308345,2000.0,2001.7820818192884,1.7820818192883507
1777655683500,1777655683500,ETH,binance,okx,0.8670733240556487,2000.0,2001.1878904539562,1.1878904539562427
1777655742000,1777655742000,BTC,bybit,okx,0.02554624253091734,2000.0,2001.1138161743481,1.1138161743481305
1777658591100,1777658591100,ETH,binance,okx,0.8660408078428655,2000.0300396323137,2001.2904008036858,1.2603611713720966
1777658753300,1777658753300,BTC,binance,okx,0.025465100970398603,2000.0,2001.1291225770274,1.129122577027374
1777659170200,1777659170200,BTC,binance,okx,0.025482287325785564,2000.0,2001.197922327185,1.197922327185097
1777660198200,1777660198200,BTC,binance,okx,0.025464407124941114,2000.0,2001.2604881526847,1.2604881526847294
1777660198200,1777660198200,ETH,binance,bybit,0.8662471143143005,2000.0,2001.5245949211933,1.5245949211932839
1777660789100,1777660789100,BTC,binance,bybit,0.02547702545536998,2000.0,2001.6509112495078,1.6509112495077716
1777665617500,1777665617500,BTC,binance,okx,0.025513383491794835,2000.0,2001.274903773085,1.2749037730850432
1777668182700,1777668182700,ETH,binance,okx,0.8726612678022898,2000.0,2001.0384669086848,1.038466908684768
1777668183000,1777668183000,BTC,binance,okx,0.02565604100348473,2000.0,2001.0993613569992,1.0993613569992249
1777668733300,1777668733300,ETH,bybit,binance,0.8734654304219275,2000.0,2001.3189327999369,1.3189327999368743
1777669076200,1777669076200,ETH,bybit,binance,0.8763896252996156,2000.0,2001.2192245791662,1.2192245791661662
1777669076300,1777669076300,BTC,bybit,binance,0.025712625413330453,2000.0,2001.0393043192068,1.039304319206849
1777669076300,1777669076300,ETH,bybit,binance,0.876481802046585,1999.9999999999998,2001.4297083373358,1.4297083373360238
1777669772300,1777669772300,ETH,okx,binance,0.8744545589688433,2000.0,2001.0318563795836,1.0318563795835871
1777671344100,1777671344100,ETH,bybit,binance,0.8727374282173466,2000.0,2001.056012288143,1.056012288142938
1777671780200,1777671780200,ETH,okx,binance,0.874118233232227,2000.0,2002.9720019929898,2.972001992989817
