,equity
2026-05-29 18:05:00+00:00,10073.747332758914
2026-05-29 18:10:00+00:00,10073.940575562152
2026-05-29 18:15:00+00:00,10074.051963671125
2026-05-29 18:20:00+00:00,10074.483031363196
2026-05-29 18:25:00+00:00,10074.483031363196
2026-05-29 18:30:00+00:00,10074.483031363196
2026-05-29 18:35:00+00:00,10074.676920567032
2026-05-29 18:40:00+00:00,10074.788366108189
2026-05-29 18:45:00+00:00,10074.788366108189
2026-05-29 18:50:00+00:00,10074.788366108189
2026-05-29 18:55:00+00:00,10074.788366108189
2026-05-29 19:00:00+00:00,10074.788366108189
2026-05-29 19:05:00+00:00,10074.788366108189
2026-05-29 19:10:00+00:00,10074.788366108189
2026-05-29 19:15:00+00:00,10074.983727526962
2026-05-29 19:20:00+00:00,10074.983727526962
2026-05-29 19:25:00+00:00,10074.907082538544
2026-05-29 19:30:00+00:00,10074.907082538544
2026-05-29 19:35:00+00:00,10075.06386602878
2026-05-29 19:40:00+00:00,10075.186269914895
2026-05-29 19:45:00+00:00,10074.603664694969
2026-05-29 19:50:00+00:00,10074.797817781588
2026-05-29 19:55:00+00:00,10075.190474957431
2026-05-29 20:00:00+00:00,10075.190474957431
2026-05-29 20:05:00+00:00,10075.190474957431
2026-05-29 20:10:00+00:00,10075.622701061033
2026-05-29 20:15:00+00:00,10076.055316891907
2026-05-29 20:20:00+00:00,10076.055316891907
2026-05-29 20:25:00+00:00,10076.055316891907
2026-05-29 20:30:00+00:00,10076.055316891907
2026-05-29 20:35:00+00:00,10076.356874812405
2026-05-29 20:40:00+00:00,10076.744426999898
2026-05-29 20:45:00+00:00,10076.744426999898
2026-05-29 20:50:00+00:00,10076.744426999898
2026-05-29 20:55:00+00:00,10077.177090994188
2026-05-29 21:00:00+00:00,10076.744408422655
2026-05-29 21:05:00+00:00,10076.744408422655
2026-05-29 21:10:00+00:00,10076.516788264345
2026-05-29 21:15:00+00:00,10076.516788264345
2026-05-29 21:20:00+00:00,10076.72061716292
2026-05-29 21:25:00+00:00,10077.15365199821
2026-05-29 21:30:00+00:00,10077.15365199821
2026-05-29 21:35:00+00:00,10077.03946328827
2026-05-29 21:40:00+00:00,10077.03946328827
2026-05-29 21:45:00+00:00,10076.606972324182
2026-05-29 21:50:00+00:00,10076.173756203274
2026-05-29 21:55:00+00:00,10075.94456994702
2026-05-29 22:00:00+00:00,10075.511195987023
2026-05-29 22:05:00+00:00,10075.511195987023
2026-05-29 22:10:00+00:00,10075.511195987023
2026-05-29 22:15:00+00:00,10075.511195987023
2026-05-29 22:20:00+00:00,10075.079141476046
2026-05-29 22:25:00+00:00,10075.079141476046
2026-05-29 22:30:00+00:00,10075.079141476046
2026-05-29 22:35:00+00:00,10075.38227293151
2026-05-29 22:40:00+00:00,10075.685140134105
2026-05-29 22:45:00+00:00,10075.253078164116
2026-05-29 22:50:00+00:00,10075.477396389168
2026-05-29 22:55:00+00:00,10075.477396389168
2026-05-29 23:00:00+00:00,10075.477396389168
2026-05-29 23:05:00+00:00,10075.477396389168
2026-05-29 23:10:00+00:00,10075.881506582546
2026-05-29 23:15:00+00:00,10076.269862007737
2026-05-29 23:20:00+00:00,10076.46408463422
2026-05-29 23:25:00+00:00,10076.576107581242
2026-05-29 23:30:00+00:00,10076.576107581242
2026-05-29 23:35:00+00:00,10076.77850943135
2026-05-29 23:40:00+00:00,10076.77850943135
2026-05-29 23:45:00+00:00,10077.644956422702
2026-05-29 23:50:00+00:00,10078.077659082917
2026-05-29 23:55:00+00:00,10078.077659082917
2026-05-30 00:00:00+00:00,10078.250097376016
2026-05-30 00:05:00+00:00,10078.250097376016
2026-05-30 00:10:00+00:00,10078.681899008294
2026-05-30 00:15:00+00:00,10078.681899008294
2026-05-30 00:20:00+00:00,10078.875981078369
2026-05-30 00:25:00+00:00,10078.445075735013
2026-05-30 00:30:00+00:00,10079.307587080819
2026-05-30 00:35:00+00:00,10079.307587080819
2026-05-30 00:40:00+00:00,10079.307587080819
2026-05-30 00:45:00+00:00,10079.307587080819
2026-05-30 00:50:00+00:00,10079.762532131013
2026-05-30 00:55:00+00:00,10079.762532131013
2026-05-30 01:00:00+00:00,10079.762532131013
2026-05-30 01:05:00+00:00,10079.649225447873
2026-05-30 01:10:00+00:00,10079.22139653338
2026-05-30 01:15:00+00:00,10079.22139653338
2026-05-30 01:20:00+00:00,10079.414042202274
2026-05-30 01:25:00+00:00,10079.414042202274
2026-05-30 01:30:00+00:00,10079.414042202274
2026-05-30 01:35:00+00:00,10079.414042202274
2026-05-30 01:40:00+00:00,10079.535847810035
2026-05-30 01:45:00+00:00,10079.535847810035
2026-05-30 01:50:00+00:00,10079.535847810035
2026-05-30 01:55:00+00:00,10079.72827881133
2026-05-30 02:00:00+00:00,10079.72827881133
2026-05-30 02:05:00+00:00,10079.72827881133
2026-05-30 02:10:00+00:00,10079.837722115117
2026-05-30 02:15:00+00:00,10079.837722115117
2026-05-30 02:20:00+00:00,10080.06256792645
2026-05-30 02:25:00+00:00,10080.06256792645
2026-05-30 02:30:00+00:00,10079.639391496226
2026-05-30 02:35:00+00:00,10080.064155060976
2026-05-30 02:40:00+00:00,10080.064155060976
2026-05-30 02:45:00+00:00,10080.307487931346
2026-05-30 02:50:00+00:00,10080.307487931346
2026-05-30 02:55:00+00:00,10080.419280184733
2026-05-30 03:00:00+00:00,10080.419280184733
2026-05-30 03:05:00+00:00,10080.611251605038
2026-05-30 03:10:00+00:00,10080.188938607484
2026-05-30 03:15:00+00:00,10080.188938607484
2026-05-30 03:20:00+00:00,10080.300915822976
2026-05-30 03:25:00+00:00,10080.492921554705
2026-05-30 03:30:00+00:00,10080.676905729219
2026-05-30 03:35:00+00:00,10080.901219857073
2026-05-30 03:40:00+00:00,10081.209711846173
2026-05-30 03:45:00+00:00,10081.515852438699
2026-05-30 03:50:00+00:00,10081.740510173573
2026-05-30 03:55:00+00:00,10081.602653833319
2026-05-30 04:00:00+00:00,10081.602653833319
2026-05-30 04:05:00+00:00,10081.602653833319
2026-05-30 04:10:00+00:00,10081.490236319338
2026-05-30 04:15:00+00:00,10081.818766307486
2026-05-30 04:20:00+00:00,10082.011461620297
2026-05-30 04:25:00+00:00,10082.2451696102
2026-05-30 04:30:00+00:00,10082.398675170029
2026-05-30 04:35:00+00:00,10082.398675170029
2026-05-30 04:40:00+00:00,10082.398675170029
2026-05-30 04:45:00+00:00,10081.969271478582
2026-05-30 04:50:00+00:00,10082.39847408699
2026-05-30 04:55:00+00:00,10082.82751231993
2026-05-30 05:00:00+00:00,10082.82751231993
2026-05-30 05:05:00+00:00,10082.674927157817
2026-05-30 05:10:00+00:00,10083.004785661433
2026-05-30 05:15:00+00:00,10083.433120614094
2026-05-30 05:20:00+00:00,10083.585346355649
2026-05-30 05:25:00+00:00,10084.136061011375
2026-05-30 05:30:00+00:00,10084.136061011375
2026-05-30 05:35:00+00:00,10084.136061011375
2026-05-30 05:40:00+00:00,10084.335371932633
2026-05-30 05:45:00+00:00,10084.763581502566
2026-05-30 05:50:00+00:00,10085.093472362281
2026-05-30 05:55:00+00:00,10085.31340679631
2026-05-30 06:00:00+00:00,10085.539256385533
2026-05-30 06:05:00+00:00,10085.539256385533
2026-05-30 06:10:00+00:00,10085.46424865642
2026-05-30 06:15:00+00:00,10085.46424865642
2026-05-30 06:20:00+00:00,10085.793946735814
2026-05-30 06:25:00+00:00,10086.221673366294
2026-05-30 06:30:00+00:00,10086.334368580521
2026-05-30 06:35:00+00:00,10086.409259688098
2026-05-30 06:40:00+00:00,10086.519001927894
2026-05-30 06:45:00+00:00,10086.519001927894
2026-05-30 06:50:00+00:00,10086.519001927894
2026-05-30 06:55:00+00:00,10086.63207949518
2026-05-30 07:00:00+00:00,10087.061663484938
2026-05-30 07:05:00+00:00,10087.061663484938
2026-05-30 07:10:00+00:00,10087.061663484938
2026-05-30 07:15:00+00:00,10087.061663484938
2026-05-30 07:20:00+00:00,10087.254164661721
2026-05-30 07:25:00+00:00,10087.254164661721
2026-05-30 07:30:00+00:00,10087.682680131758
2026-05-30 07:35:00+00:00,10087.682680131758
2026-05-30 07:40:00+00:00,10087.878003150587
2026-05-30 07:45:00+00:00,10087.68552312763
2026-05-30 07:50:00+00:00,10087.68552312763
2026-05-30 07:55:00+00:00,10088.015869777224
2026-05-30 08:00:00+00:00,10087.587503922881
2026-05-30 08:05:00+00:00,10088.028346816092
2026-05-30 08:10:00+00:00,10088.358957314676
2026-05-30 08:15:00+00:00,10088.78806658551
2026-05-30 08:20:00+00:00,10089.216829359271
2026-05-30 08:25:00+00:00,10089.216829359271
2026-05-30 08:30:00+00:00,10089.601326951853
2026-05-30 08:35:00+00:00,10089.601326951853
2026-05-30 08:40:00+00:00,10089.7145533162
2026-05-30 08:45:00+00:00,10089.7145533162
2026-05-30 08:50:00+00:00,10090.144268586784
2026-05-30 08:55:00+00:00,10090.57510309868
2026-05-30 09:00:00+00:00,10090.461687620393
2026-05-30 09:05:00+00:00,10090.461687620393
2026-05-30 09:10:00+00:00,10090.461687620393
2026-05-30 09:15:00+00:00,10090.461687620393
2026-05-30 09:20:00+00:00,10090.461687620393
2026-05-30 09:25:00+00:00,10090.032853719516
2026-05-30 09:30:00+00:00,10090.032853719516
2026-05-30 09:35:00+00:00,10089.603673249345
2026-05-30 09:40:00+00:00,10089.603673249345
2026-05-30 09:45:00+00:00,10090.033018086504
2026-05-30 09:50:00+00:00,10090.033018086504
2026-05-30 09:55:00+00:00,10089.604202403627
2026-05-30 10:00:00+00:00,10089.795801420003
2026-05-30 10:05:00+00:00,10089.795801420003
2026-05-30 10:10:00+00:00,10089.795801420003
2026-05-30 10:15:00+00:00,10089.795801420003
2026-05-30 10:20:00+00:00,10090.064615730453
2026-05-30 10:25:00+00:00,10090.256442053946
2026-05-30 10:30:00+00:00,10090.448272024327
2026-05-30 10:35:00+00:00,10090.0190738843
2026-05-30 10:40:00+00:00,10090.1292991309
2026-05-30 10:45:00+00:00,10090.1292991309
2026-05-30 10:50:00+00:00,10090.532946162557
2026-05-30 10:55:00+00:00,10090.682391259508
2026-05-30 11:00:00+00:00,10091.065921567044
2026-05-30 11:05:00+00:00,10091.065921567044
2026-05-30 11:10:00+00:00,10091.25762114762
2026-05-30 11:15:00+00:00,10091.25762114762
2026-05-30 11:20:00+00:00,10091.25762114762
2026-05-30 11:25:00+00:00,10091.408012468353
2026-05-30 11:30:00+00:00,10090.978408040406
2026-05-30 11:35:00+00:00,10091.407628729816
2026-05-30 11:40:00+00:00,10091.599480585875
2026-05-30 11:45:00+00:00,10092.028727692663
2026-05-30 11:50:00+00:00,10092.220810462508
2026-05-30 11:55:00+00:00,10092.64990148336
2026-05-30 12:00:00+00:00,10093.0341638059
2026-05-30 12:05:00+00:00,10092.920962435735
2026-05-30 12:10:00+00:00,10092.810500347934
2026-05-30 12:15:00+00:00,10092.810500347934
2026-05-30 12:20:00+00:00,10092.810500347934
2026-05-30 12:25:00+00:00,10093.668732533339
2026-05-30 12:30:00+00:00,10094.526672927093
2026-05-30 12:35:00+00:00,10094.526672927093
2026-05-30 12:40:00+00:00,10094.71862057252
2026-05-30 12:45:00+00:00,10094.605438392671
2026-05-30 12:50:00+00:00,10094.989044907526
2026-05-30 12:55:00+00:00,10095.564367231515
2026-05-30 13:00:00+00:00,10095.756043031159
2026-05-30 13:05:00+00:00,10096.184555596652
2026-05-30 13:10:00+00:00,10096.184555596652
2026-05-30 13:15:00+00:00,10096.613086350286
2026-05-30 13:20:00+00:00,10097.041271807722
2026-05-30 13:25:00+00:00,10097.041271807722
2026-05-30 13:30:00+00:00,10097.154492723532
2026-05-30 13:35:00+00:00,10097.375340372104
2026-05-30 13:40:00+00:00,10097.375340372104
2026-05-30 13:45:00+00:00,10097.950908033536
2026-05-30 13:50:00+00:00,10098.142556371135
2026-05-30 13:55:00+00:00,10098.142556371135
2026-05-30 14:00:00+00:00,10098.33402665093
2026-05-30 14:05:00+00:00,10099.190180447169
2026-05-30 14:10:00+00:00,10099.618475196128
2026-05-30 14:15:00+00:00,10100.046243873603
